Title,Sector,Description,Salary
Худалдааны төлөөлөгч,"Худалдаа, Борлуулалт","Гүйцэтгэх үндсэн үүрэгХарилцагч дэлгүүрүүдээс барааны захиалга авах /хүнс болон ахуй/
Бүтээгдэхүүний танилцуулга хийх,
Борлуулалтын сувгуудыг идэвхитэй байлгах,
Борлуулалтыг нэмэгдүүлэхэд анхаарч ажиллах","1,800,000 - 2,100,000 ₮"
SENIOR HUMAN RESOURCE MANAGER,Human Resourses,"Job description
Position overview: As the Senior HR Manager at MSM Group LLC you will play pivotal role in shaping our workforce and ensuring that we attract, retain, and develop the best talent. This position role in shaping our workforce and ensuring that we attract, retain and develop the best talent. This position requires a strategic thinker with a strong background in HR, specially in the areas of training and development and talent acquisition.
 
Main responsibility:
 

Oversee nd execute comprehensive training and development programs to enhance employee skill, knowledge, and career growth.
 
Lead talent acquisition process, working closely with department heads to identify staffing needs, source top talent, and ensure a smooth recruitment process.
 
Continuously assess the effectiveness of training and development initiatives and make improvements to align with the company’s strategic goals.
 
Collaborate with department heads to identify areas for skill development and design targeted training solutions
 
Stay up to date with industry trends, best practices, and emerging technologies in HR, training and talent acquisition.","4,000,000 - 5,000,000 MNT   /Monthly/"
ХАБЭА-н мэргэжилтэн /Хөдөө ажиллах/,"Үйлдвэрлэл, Дэд бүтэц","Гүйцэтгэх үндсэн үүрэгХАБЭА-н мэргэжилтэн нь төслийн талбайд үйлдвэрлэлийн болон үйлдвэрлэлийн бус хэсэгт хөдөлмөрийн аюулгүй ажиллагааг хангаж, зохион байгуулах, Хөдөлмөр Аюулгүй Ажиллагааны хууль тогтоомжийн дагуу холбогдох арга хэмжээнүүдийг авч хэрэгжүүлэхэд нийт ажилтнуудад туслах үүрэгтэй.","2,500,000 - 3,000,000 ₮"
Автын засварчин /Хөдөө ажиллах/,Автомашины засвар үйлчилгээ,"Гүйцэтгэх үндсэн үүрэгТехник тоног төхөөрөмжийн засвар үйлчилгээг цаг тухайд нь оновчтой хийж гүйцэтгэх, сэлбэг захиалах, өдөр тутмын үзлэг хийх, төлөвлөгөөт ба төлөвлөгөөт бус арчилгаа үйлчилгээ хийх","2,100,000 - 2,500,000 ₮"
Өмнөговьд- 2.2 сая₮ цалинтай худалдааны зөвлөх,"Худалдаа, Борлуулалт","Гүйцэтгэх үндсэн үүрэг

Электрон бараа, компьютерийн барааны талаар худалдан авагчдад тайлбарлах, зөв сонголт хийхэд нь мэргэжлийн туслалцаа үзүүлэх, зөвлөх,


Борлуулалтын төлөвлөгөөт зорилтыг хангаж ажиллах,

Худалдааны зөвлөх болон кассчины үүргийг давхар гүйцэтгэх.","2,500,000 - 3,000,000 ₮"
Үндсэн цалинтайАгент сургаж авна.,"Барилга, Үл хөдлөх хөрөнгө","Гүйцэтгэх үндсэн үүрэгГүйцэтгэх үүрэг:
1. Зах зээлийн судалгаа хийх
2. Чанартай листинг үүсгэх
3. Хэлэлцээр хийх гэрээ байгуулах
4. Зар сурталчилгаа явуулах
5. Хандалтын дататай ажиллах
6. Хууль эрх зүйн орчин зөв, бодитой гэрээ байгуулах
7. Хамтран ажиллаж байгаа харилцагчидаа халамжлах, харилцагчидтайгаа эргэх холбоотой ажилладаг байх
8. Төлөвлөгөө, гүйцэтгэлийн дагуу шууд удирлагад ажлаа тайлагнах, сайжруулалт хийх чадвартай байх","1,500,000 - 1,800,000 ₮"
Эвент хариуцсан зохион байгуулагч,"Ресторан, Хоол үйлдвэрлэл","Гүйцэтгэх үндсэн үүрэг1. Бүх төрлийн хүлээн авалтыг удирдан зохион байгуулах
2. Цагийн ажилтнуудын сургах, чиглүүлэх, удирдлагаар хангах, үнэлэх
3. Гарсан асуудлыг шийдвэрлэх
4. Захиалгын менежер, дууны техникч, захиалагч талын зохион байгуулагч нартай уялдаа холбоотой ажиллах
5. Мэргэжлээрээ ажиллаж байсан туршлагатай","1,500,000 - 1,800,000 ₮"
Маркетингийн Менежер,"Худалдаа, Борлуулалт","Гүйцэтгэх үндсэн үүрэг
Компанийн маркетинг, идэвхжүүлэлттэй холбоотой судалгаа, шинжилгээний ажлыг төлөвлөлтийн дагуу тогтмол гүйцэтгэх, судалгааны харьцуулалт, үр дүнд үндэслэн цаашид баримтлах бодлого, үйл ажиллагааны төлөвлөлтийг хийж, хэрэгжүүлэх;
Зах зээлд эзлэх хувь хэмжээгээ нэмэгдүүлэх, маркетингийн бодлого, төлөвлөлтийг тодорхойлж, гүйцэтгэлийн хэрэгжилтэнд хяналт тавих;
Маркетинг, борлуулалтын орлого, зардлыг төлөвлөх, үр ашгийг тооцох, тайлагнах;
Компанийн борлуулалтыг нэмэгдүүлэхэд чиглэсэн маркетингийн ажлыг зохион байгуулах",
"НИЙГЭМ, ЭДИЙН ЗАСГИЙН  ХЭЛТСИЙН АХЛАХ МЭРГЭЖИЛТЭН","Төрийн болон төрийн бус байгууллага, ОУБ","Гүйцэтгэх үндсэн үүрэгАжлын байрны зорилго: МҮЭ-ийн гишүүд, хөдөлмөрчдийн  цалин хөлс, хөдөлмөрийн бүтээмжийг  сайржуулан амьдралын чанарыг дээшлүүлэхэд оршино.
Гүйцэтгэх үндсэн чиг үүрэг: 

Хөдөлмөрийн зах зээлийн судалгаа хийж, мэдээллийн бааз бүрдүүлэх
Цалин хөлс, бүтээмж, эдийн засагтай холбоотой асуудлаар ОУ-ын байгууллага, төр засаг, холбогдох байгууллагуудтай хамтрах
Мэргэжлийн болон чиг үүргийн удирдлагаар харьяалах  ажилтнаа чиглүүлэх","1,000,000 - 1,200,000 ₮"
Хүний нөөцийн ажилтан / HR officer,"Захиргаа, Хүний нөөц",Гүйцэтгэх үндсэн үүрэгШинэ төгсөгч байж болно.,"2,100,000 - 2,500,000 ₮"
